Achromobacter_insuavis	GCF_000219745.1_ASM21974v1_genomic
Achromobacter_marplatensis	GCF_002209535.1_ASM220953v1_genomic
Achromobacter_piechaudii	GCF_001262515.1_GCS2v1_genomic
Achromobacter_ruhlandii	GCF_002082135.1_ASM208213v1_genomic
Achromobacter_spanius	GCF_001189595.1_ASM118959v1_genomic
Acinetobacter_albensis	GCF_900095025.1_IMG-taxon_2671180230_annotated_assembly_genomic
Acinetobacter_apis	GCF_900197575.1_IMG-taxon_2690315601_annotated_assembly_genomic
Acinetobacter_baumannii	GCF_000746645.1_ASM74664v1_genomic
Acinetobacter_baylyi	GCF_000368685.1_Acin_bayl_CIP_107474_V1_genomic
Acinetobacter_beijerinckii	GCF_000369005.1_Acin_beij_CIP_110307_V1_genomic
Acinetobacter_bereziniae	GCF_000368925.1_Acin_bere_CIP_70_12_V1_genomic
Acinetobacter_bohemicus	GCF_000367925.1_Acin_sp_ANC_3994_V1_genomic
Acinetobacter_boissieri	GCF_900096955.1_IMG-taxon_2671180229_annotated_assembly_genomic
Acinetobacter_bouvetii	GCF_000368865.1_Acin_bouv_CIP_107468_V1_genomic
Acinetobacter_brisouii	GCF_000488275.1_Acin_bris_CIP110357_V2_genomic
Acinetobacter_calcoaceticus	GCF_002055515.1_ASM205551v1_genomic
Acinetobacter_celticus	GCF_001707755.1_ASM170775v1_genomic
Acinetobacter_defluvii	GCF_001704615.1_ASM170461v1_genomic
Acinetobacter_dijkshoorniae	GCF_001595745.1_ASM159574v2_genomic
Acinetobacter_equi	GCF_001307195.1_ASM130719v1_genomic
Acinetobacter_gandensis	GCF_001678755.1_ASM167875v1_genomic
Acinetobacter_genomosp.	GCF_001990725.1_ASM199072v1_genomic
Acinetobacter_harbinensis	GCF_000816495.1_ASM81649v1_genomic
Acinetobacter_idrijaensis	GCF_000761495.1_Ai_1.0_genomic
Acinetobacter_indicus	GCF_000413875.1_Acin_indi_ANC_4215_V1_genomic
Acinetobacter_johnsonii	GCF_000368805.1_Acin_john_ANC_3681_V1_genomic
Acinetobacter_junii	GCF_001941805.1_ASM194180v1_genomic
Acinetobacter_kookii	GCF_900096895.1_IMG-taxon_2671180219_annotated_assembly_genomic
Acinetobacter_kyonggiensis	GCF_900107285.1_IMG-taxon_2675903034_annotated_assembly_genomic
