Achromobacter_xylosoxidans	GCA_001312125.1_ASM131212v1_genomic
Acinetobacter_baumannii	GCA_000248255.2_ASM24825v2_genomic
Acinetobacter_baumannii	GCA_000464705.1_ASM46470v1_genomic
Acinetobacter_baumannii	GCA_000509305.1_ASM50930v1_genomic
Acinetobacter_baumannii	GCA_000784715.1_ASM78471v1_genomic
Acinetobacter_baumannii	GCA_001584465.1_ASM158446v1_genomic
Acinetobacter_baumannii	GCA_001584475.1_ASM158447v1_genomic
Acinetobacter_baumannii	GCA_001584485.1_ASM158448v1_genomic
Acinetobacter_baumannii	GCA_001649695.1_ASM164969v1_genomic
Acinetobacter_baumannii	GCA_001649735.1_ASM164973v1_genomic
Acinetobacter_baumannii	GCA_001649885.1_ASM164988v1_genomic
Acinetobacter_baumannii	GCA_001649915.1_ASM164991v1_genomic
Acinetobacter_baumannii	GCF_001862175.1_ASM186217v1_genomic
Acinetobacter_baumannii	GCF_001862185.1_ASM186218v1_genomic
Acinetobacter_baumannii	GCF_001862215.1_ASM186221v1_genomic
Acinetobacter_baumannii	GCF_001862225.1_ASM186222v1_genomic
Acinetobacter_baumannii	GCF_001862235.1_ASM186223v1_genomic
Acinetobacter_baumannii	GCF_001862265.1_ASM186226v1_genomic
Acinetobacter_baumannii	GCF_001862295.1_ASM186229v1_genomic
Acinetobacter_baumannii	GCF_001862305.1_ASM186230v1_genomic
Acinetobacter_baumannii	GCF_001862335.1_ASM186233v1_genomic
Acinetobacter_baumannii	GCF_001862345.1_ASM186234v1_genomic
Acinetobacter_baumannii	GCF_001862375.1_ASM186237v1_genomic
Acinetobacter_baumannii	GCF_001862385.1_ASM186238v1_genomic
Acinetobacter_baumannii	GCF_001862395.1_ASM186239v1_genomic
Acinetobacter_baumannii	GCF_001862425.1_ASM186242v1_genomic
Acinetobacter_baumannii	GCF_001862455.1_ASM186245v1_genomic
Acinetobacter_baumannii	GCF_001862475.1_ASM186247v1_genomic
Acinetobacter_baumannii	GCF_001862485.1_ASM186248v1_genomic
Acinetobacter_baumannii	GCF_001862505.1_ASM186250v1_genomic
Acinetobacter_baumannii	GCF_001862535.1_ASM186253v1_genomic
Acinetobacter_baumannii	GCF_001862555.1_ASM186255v1_genomic
Acinetobacter_baumannii	GCF_001862565.1_ASM186256v1_genomic
Acinetobacter_baumannii	GCF_001862585.1_ASM186258v1_genomic
Acinetobacter_baumannii	GCF_001862615.1_ASM186261v1_genomic
Acinetobacter_baumannii	GCF_001862635.1_ASM186263v1_genomic
